prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_b_01,B,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T18:56:29.992273Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,,1,0,1,1,,,,,,,,,,,
stage_b_02,B,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T18:58:57.879563Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02_openrouter-openai_gpt-5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.97,0.67,2.00,2.00,2.00,2.00,,,,1,,1,1,1,,,,,,,,,,
stage_b_03,B,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:02:03.983332Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.80,0.67,1.67,2.00,2.00,2.00,,,1,1,,,,,1,,,,,,,,,
stage_b_04,B,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:04:41.343459Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04_openrouter-openai_gpt-5.txt,None,0,0,1,0,0,1.0,1.83,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,,,,,,1,,,,1,1,,,,,,,
stage_b_05,B,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:06:56.346586Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05_openrouter-openai_gpt-5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.80,0.67,2.00,2.00,2.00,2.00,,,,1,,1,,,,,,1,,,,,,
stage_b_06,B,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:09:23.179845Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,,1,,,,,,1,,,0,,,,,
stage_b_07,B,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:11:31.942684Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,1.97,2.00,0.97,0.67,2.00,2.00,2.00,2.00,,,,1,,,,,,1,,,,,,,,
stage_b_08,B,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:14:20.850632Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,1.97,2.00,0.87,0.67,2.00,2.00,2.00,2.00,,,,1,,1,,,,,,,1,,,,,
stage_b_09,B,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:17:02.665118Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.90,0.67,2.00,2.00,2.00,2.00,,,1,1,,,,,,,,,1,,,,,
stage_b_10,B,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:19:45.867011Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,1.00,0.67,1.67,1.67,2.00,2.00,,,1,1,,,,,,,,,1,,,,,
