prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_f_01,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:01:47.334740Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_01_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.67,0.00,2.00,1.50,0.83,0.00,1.00,2.00,1.33,,,,,,,
stage_f_02,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:07:16.821442Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_02_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.50,1.67,2.00,0.00,2.00,2.00,2.00,,,,,,,
stage_f_03,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:12:24.499081Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_03_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,0.67,1.50,1.17,0.00,1.67,1.33,1.67,,,,,,,
stage_f_04,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:16:30.213138Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_04_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,2.00,2.00,1.33,0.00,2.00,2.00,1.67,,,,,,,
stage_f_05,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:22:09.395963Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_05_openrouter-openai_gpt-5.txt,None,,0,,0.0,1.00,0.00,1.00,1.67,1.67,0.00,1.50,2.00,1.56,,,,,,,
stage_f_06,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:26:06.075860Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_06_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,1.50,1.83,1.50,0.00,1.67,2.00,2.00,,,,,,,
stage_f_07,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:30:07.328103Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_07_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,0.33,1.33,1.00,0.00,1.00,2.00,1.33,,1,,,,,
stage_f_08,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:34:35.374307Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_08_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.67,0.00,2.00,1.83,1.50,0.00,1.33,2.00,1.33,,,,,,,
stage_f_09,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:39:08.284543Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_09_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.00,1.83,1.50,0.00,1.50,2.00,1.50,,,,,,,
stage_f_10,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:43:35.003825Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_10_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,2.00,1.67,1.50,0.00,1.83,2.00,1.67,,,,,,,
stage_f_11,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:48:58.196833Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_11_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.00,1.50,1.17,0.00,1.50,2.00,1.67,,,,,,,
stage_f_12,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:53:04.658883Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_12_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.67,1.83,1.50,0.00,1.50,2.00,1.50,,,,,,,
stage_f_13,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:57:04.202756Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_13_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,0.67,1.67,0.33,0.00,0.67,2.00,1.67,,1,,,,,
stage_f_14,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:01:08.993715Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_14_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.67,0.00,1.33,1.67,0.50,0.00,1.33,2.00,1.33,,,,,,,
stage_f_15,F,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:05:47.461297Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_f/stage_f_15_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.67,0.00,1.00,1.50,1.69,0.00,1.83,2.00,1.67,,,,,,,
