prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_b_01,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:04:42.698832Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_01_openrouter-openai_gpt-5.txt,None,0,0,0,0.5,1.33,2.00,2.00,1.00,1.67,1.17,2.00,2.00,1.83,,,1,0,0,1,
stage_b_02,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:10:14.448809Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_02_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.67,0.67,0.00,1.56,2.00,1.67,,,1,,1,1,1
stage_b_03,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:15:13.502265Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_03_openrouter-openai_gpt-5.txt,None,,0,0,0.0,0.67,0.00,1.67,1.33,0.83,0.00,1.50,2.00,1.50,,1,1,,,,
stage_b_04,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:19:17.827843Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_04_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.50,0.83,0.00,2.00,1.33,2.00,,,,,0,,
stage_b_05,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:24:26.600951Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_05_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.67,0.00,1.69,1.50,0.50,0.00,2.00,1.83,2.00,,,1,,1,,
stage_b_06,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:30:00.114056Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_06_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.63,0.00,1.83,1.33,2.00,0.00,1.50,2.00,2.00,,,1,,,,
stage_b_07,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:34:33.760436Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_07_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.50,1.33,0.00,1.83,1.83,2.00,,,1,,,,
stage_b_08,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:39:13.191297Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_08_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.63,0.00,1.00,1.17,0.50,0.00,1.83,2.00,1.67,,,1,,1,,
stage_b_09,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:44:01.315246Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_09_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,0.76,1.33,0.67,0.00,1.67,2.00,2.00,,1,1,,,,
stage_b_10,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:49:01.129453Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_10_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.83,1.67,0.83,0.00,1.33,1.83,1.50,,1,1,,,,
stage_b_11,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:56:01.259106Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_11_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.63,0.00,1.50,1.33,0.93,0.00,1.67,2.00,2.00,,,1,,,,
stage_b_12,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:01:04.547305Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_12_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.83,0.67,0.00,1.50,1.67,2.00,,,1,,1,,
stage_b_13,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:06:30.615831Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_13_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.83,0.33,0.00,1.83,1.83,2.00,,1,1,,,,
stage_b_14,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:11:32.030086Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_14_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.33,1.67,0.67,0.00,2.00,1.67,2.00,,,1,,,,
stage_b_15,B,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:16:40.253714Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_b/stage_b_15_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.67,0.00,1.50,1.67,0.83,0.00,2.00,2.00,2.00,,1,1,,,,
