prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_a_01,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T10:30:25.419308Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_01_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.50,1.67,1.67,0.00,2.00,2.00,2.00,,,,,,,
stage_a_02,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T10:34:19.492155Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_02_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.67,2.00,1.50,0.00,2.00,2.00,2.00,,,,,,,
stage_a_03,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T10:38:23.999310Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_03_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.50,1.67,1.83,0.00,2.00,2.00,2.00,,,,,,,
stage_a_04,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T10:42:29.900612Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_04_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.33,1.67,2.00,0.00,2.00,1.33,2.00,,,,,,,
stage_a_05,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T10:45:47.984866Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_05_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.50,1.67,0.00,1.83,2.00,1.83,1,,,,,,
stage_a_06,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T10:49:16.941588Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_06_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.83,1.67,1.50,0.00,2.00,1.83,2.00,,1,,,,,
stage_a_07,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T10:53:16.440080Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_07_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.83,1.83,1.67,0.00,2.00,2.00,2.00,,,,,,,
stage_a_08,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T10:56:48.402448Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_08_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.83,2.00,0.00,2.00,2.00,2.00,1,,,,,,
stage_a_09,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:00:53.055681Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_09_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.33,1.83,1.67,0.00,2.00,2.00,2.00,,1,,,,,
stage_a_10,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:04:58.460425Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_10_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,2.00,1.83,2.00,0.00,2.00,2.00,1.83,,,,,,,
stage_a_11,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:09:14.777751Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_11_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.67,0.00,1.83,2.00,1.50,0.00,2.00,2.00,2.00,,,,,,,
stage_a_12,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:13:11.613857Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_12_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.67,1.67,1.33,0.00,2.00,2.00,2.00,,,,,,,
stage_a_13,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:18:14.640274Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_13_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,2.00,1.83,2.00,0.00,2.00,2.00,2.00,,1,,,,,
stage_a_14,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:23:29.013434Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_14_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,1.00,0.00,2.00,1.67,1.50,0.00,2.00,2.00,2.00,,1,,,,,
stage_a_15,A,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:28:07.905321Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_a/stage_a_15_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,1.83,1.67,1.67,0.00,2.00,2.00,2.00,0,,,,,,
