prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_e_01,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:33:14.749389Z,evals-for-papers/results/raw_logs/stage_e/stage_e_01.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_01_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,0,,,,,,,,1,,,,,,,,,,,,
stage_e_02,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:34:45.491399Z,evals-for-papers/results/raw_logs/stage_e/stage_e_02.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_02_tools.json,0,1,,1.0,2.00,2.00,1.67,0.97,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_03,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:36:19.754209Z,evals-for-papers/results/raw_logs/stage_e/stage_e_03.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_03_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,1.67,2.00,2.00,,,,0,,,,,,,,1,,,,,,,,,,,,
stage_e_04,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:37:47.845502Z,evals-for-papers/results/raw_logs/stage_e/stage_e_04.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_04_tools.json,1,1,,1.0,2.00,2.00,2.00,0.87,,1.67,2.00,2.00,2.00,,,,,,,1,,,,,,,,,,,,,,,,,
stage_e_05,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:39:28.837885Z,evals-for-papers/results/raw_logs/stage_e/stage_e_05.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_05_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,0,,,,,,,,,,,,,,,,,,,,
stage_e_06,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:41:00.605673Z,evals-for-papers/results/raw_logs/stage_e/stage_e_06.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_06_tools.json,1,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,1,,,,,,,,,,,,
stage_e_07,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:42:31.602138Z,evals-for-papers/results/raw_logs/stage_e/stage_e_07.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_07_tools.json,0,1,,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_08,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:44:08.322155Z,evals-for-papers/results/raw_logs/stage_e/stage_e_08.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_08_tools.json,1,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,0,,,,,,,,,,,,1,,,,,,,,
stage_e_09,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:45:42.080552Z,evals-for-papers/results/raw_logs/stage_e/stage_e_09.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_09_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,1.67,,1,,,,,,,,,,1,,,,,,,,,,,,
stage_e_10,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:47:08.561661Z,evals-for-papers/results/raw_logs/stage_e/stage_e_10.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_10_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,0.67,2.00,1.67,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_11,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:48:41.958939Z,evals-for-papers/results/raw_logs/stage_e/stage_e_11.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_11_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_12,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:50:16.560567Z,evals-for-papers/results/raw_logs/stage_e/stage_e_12.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_12_tools.json,1,1,,0.8333333333333334,0.83,2.00,1.33,1.00,,1.33,1.67,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_13,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:51:41.783074Z,evals-for-papers/results/raw_logs/stage_e/stage_e_13.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_13_tools.json,0,0,,0.0,1.00,0.00,1.33,0.07,,0.00,0.00,1.33,1.00,,1,,,,,,,,,,0,,,,,,,,,,,,
stage_e_14,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:53:11.996613Z,evals-for-papers/results/raw_logs/stage_e/stage_e_14.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_14_tools.json,1,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_15,E,expert_judge_upgrade,mentor_manual,2025-11-01T18:54:45.686821Z,evals-for-papers/results/raw_logs/stage_e/stage_e_15.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_15_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
