prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_b_01,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:25:34.482219Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_01_tools.json,1,1,0,1.0,2.00,2.00,2.00,1.00,,1.67,2.00,2.00,2.00,,,1,0,1,1,,,,,,,,,,,,,,,,,,
stage_b_02,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:27:39.168115Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_02_tools.json,1,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,1,,1,1,1,,,,,,,,,,,,,,,,,
stage_b_03,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:29:35.652541Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_03_tools.json,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,1.67,,1,1,,,,,1,,,,,,,,,,,,,,,,
stage_b_04,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:31:41.555929Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_04_tools.json,0,1,0,1.0,2.00,2.00,2.00,0.97,,1.67,2.00,2.00,2.00,,,,,1,,,,1,1,,,,,,,,,,,,,,
stage_b_05,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:33:47.831854Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_05_tools.json,1,1,0,1.0,2.00,2.00,2.00,0.97,,2.00,2.00,2.00,2.00,,,1,,1,,,,,,1,,,,,,,,,,,,,
stage_b_06,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:35:48.559206Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_06_tools.json,1,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,1,,,,,,1,,,1,,,,,,,,,,,,
stage_b_07,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:37:40.950204Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_07_tools.json,1,1,0,1.0,1.50,2.00,1.67,1.00,,1.67,2.00,2.00,2.00,,,1,,,,,,1,,,,,,,,,,,,,,,
stage_b_08,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:39:36.663491Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_08_tools.json,1,1,0,1.0,1.33,2.00,1.67,0.80,,1.67,2.00,2.00,1.67,,,1,,1,,,,,,,1,,,,,,,,,,,,
stage_b_09,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:41:32.246407Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_09_tools.json,1,1,0,1.0,2.00,2.00,1.67,0.87,,1.67,2.00,2.00,2.00,,1,1,,,,,,,,,1,,,,,,,,,,,,
stage_b_10,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:43:27.668546Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_10_tools.json,1,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,1.67,2.00,1.67,,1,1,,,,,,,,,1,,,,,,,,,,,,
stage_b_11,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:45:34.020055Z,evals-for-papers/results/raw_logs/stage_b/stage_b_11.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_11_tools.json,1,1,0,1.0,1.67,2.00,1.67,0.93,,2.00,2.00,2.00,2.00,,,1,,,,,,1,,,1,,,,,,,,,,,,
stage_b_12,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:47:26.860785Z,evals-for-papers/results/raw_logs/stage_b/stage_b_12.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_12_tools.json,1,1,0,1.0,2.00,2.00,2.00,0.80,,2.00,2.00,2.00,2.00,,,1,,1,,,,0,,,,,,,,,,,,,,,
stage_b_13,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:49:31.232676Z,evals-for-papers/results/raw_logs/stage_b/stage_b_13.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_13_tools.json,1,1,0,1.0,1.83,1.83,2.00,1.00,,2.00,2.00,2.00,2.00,,1,1,,,,,,,,,1,,,,,,,,,,,,
stage_b_14,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:51:30.965213Z,evals-for-papers/results/raw_logs/stage_b/stage_b_14.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_14_tools.json,1,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,2.00,2.00,,,1,,,,,,1,,,,,,,,,,,,,,,
stage_b_15,B,expert_judge_upgrade,mentor_manual,2025-10-31T17:53:44.986388Z,evals-for-papers/results/raw_logs/stage_b/stage_b_15.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_15_tools.json,1,1,0,1.0,2.00,2.00,1.83,1.00,,1.60,2.00,2.00,2.00,,1,1,,,,,,,,,1,,,,,,,,,,,,
