prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_a_01,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:30:52.229109Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.97,1.33,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,
stage_a_02,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:32:32.473288Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.87,1.33,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,
stage_a_03,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:34:45.079265Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03_openrouter-openai_gpt-5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,
stage_a_04,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:36:34.056354Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.90,1.33,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,
stage_a_05,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:38:37.855956Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05_openrouter-openai_gpt-5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,,,
stage_a_06,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:41:08.159606Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06_openrouter-openai_gpt-5.txt,None,0,0,1,0,0,1.0,2.00,2.00,2.00,0.97,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,,
stage_a_07,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:43:23.283842Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07_openrouter-openai_gpt-5.txt,None,0,1,0,0,0,0.0,1.50,0.00,2.00,0.90,1.33,0.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,
stage_a_08,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:45:39.432806Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08_openrouter-openai_gpt-5.txt,None,0,0,1,0,0,1.0,1.50,2.00,2.00,0.90,1.33,2.00,2.00,2.00,2.00,1,1,,,,,,,,,,,,,,,,
stage_a_09,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:47:56.074770Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09_openrouter-openai_gpt-5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,,
stage_a_10,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:50:24.440536Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10_openrouter-openai_gpt-5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.93,1.33,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,1,,,
stage_a_11,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:53:26.277163Z,evals-for-papers/results/raw_logs/stage_a/stage_a_11_openrouter-openai_gpt-5.txt,None,0,0,1,0,0,1.0,2.00,2.00,2.00,0.93,0.00,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,1,
stage_a_12,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:55:57.771144Z,evals-for-papers/results/raw_logs/stage_a/stage_a_12_openrouter-openai_gpt-5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.93,1.33,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,
stage_a_13,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T12:58:19.340489Z,evals-for-papers/results/raw_logs/stage_a/stage_a_13_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,1.00,1.33,1.93,2.00,2.00,2.00,,,1,,,,,,,,,,,,1,,,
stage_a_14,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T13:00:32.346096Z,evals-for-papers/results/raw_logs/stage_a/stage_a_14_openrouter-openai_gpt-5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,,
stage_a_15,A,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T13:02:46.177662Z,evals-for-papers/results/raw_logs/stage_a/stage_a_15_openrouter-openai_gpt-5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.93,1.33,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,0,,,
