prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_c_01,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:02:10.283054Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.87,,2.00,1.33,2.00,1.67,,,,,,,,,,,,,1,1,1,1,,,,,,,,
stage_c_02,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:04:24.736328Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,1.33,2.00,1.67,,,,,,,1,,,,,,1,1,1,,,,,,,,,
stage_c_03,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:06:43.187058Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,1.67,2.00,2.00,,1,,,,,,,1,,,,1,,,1,,,,,,,,
stage_c_04,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:08:50.680881Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,1,,,,,,,,,,
stage_c_05,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:10:37.419989Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.97,,1.67,2.00,2.00,2.00,,,,,,,,,,1,,,1,1,,,,,,,,,,
stage_c_06,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:12:58.211235Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,1.97,0.87,,2.00,1.67,2.00,1.67,,,,,,,,,,,,,1,1,1,1,,,,,,,,
stage_c_07,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:15:21.700041Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,1.33,2.00,1.67,,,,,,,,,,,,,1,1,1,1,,,,,,,,
stage_c_08,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:17:48.669548Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,1.67,2.00,2.00,,,,,,,,,1,,,,1,1,,1,,,,,,,,
stage_c_09,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:20:32.145346Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,1.33,2.00,2.00,,,,,,,1,,,,,,1,,1,1,,,,,,,,
stage_c_10,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:23:00.270035Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,1.97,1.00,,1.67,1.00,2.00,2.00,,,,,,,,,,,,,1,1,,1,,,,,,,,
stage_c_11,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:25:13.613130Z,evals-for-papers/results/raw_logs/stage_c/stage_c_11_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.87,,2.00,0.67,2.00,1.67,,,,,,,,,,,,,1,1,1,1,,,,,,,,
stage_c_12,C,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:27:14.334830Z,evals-for-papers/results/raw_logs/stage_c/stage_c_12_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,1.67,2.00,2.00,,,,,,,1,,,,,,1,1,,1,,,,,,,,
