prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_a_01,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:27:18.804036Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_01_tools.json,0,1,1,0,1,1.0,2.00,2.00,1.67,1.00,1.33,1.33,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_02,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:28:48.921699Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_02_tools.json,0,1,1,0,0,0.6666666666666666,0.67,1.93,2.00,0.93,0.67,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_03,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:30:21.626544Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_03_tools.json,1,,1,0,,1.0,1.50,2.00,2.00,1.00,,1.67,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_04,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:31:47.561980Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_04_tools.json,0,,1,0,,1.0,2.00,2.00,2.00,0.93,,1.33,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_05,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:33:27.805065Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_05_tools.json,0,,1,0,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,,,,,,,,,,
stage_a_06,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:35:45.164513Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_06_tools.json,1,,1,0,,0.16666666666666666,0.17,1.33,1.27,1.00,,1.67,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,,,,,,,,,
stage_a_07,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:37:06.953667Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_07_tools.json,0,,1,0,,1.0,2.00,2.00,2.00,0.97,,2.00,2.00,1.67,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_08,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:39:17.996268Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_08_tools.json,0,,1,0,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,,,,,,,,,,
stage_a_09,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:41:07.220836Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_09_tools.json,1,,1,0,,1.0,2.00,2.00,2.00,0.97,,1.67,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,,,,,,,,,
stage_a_10,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:43:16.747125Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_10_tools.json,0,,1,0,,1.0,2.00,2.00,2.00,1.00,,1.63,2.00,2.00,2.00,,,,,,,,,,,,,,,1,,,,,,,,,,
stage_a_11,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:45:20.185528Z,evals-for-papers/results/raw_logs/stage_a/stage_a_11.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_11_tools.json,1,,1,0,,1.0,2.00,2.00,1.60,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,1,,,,,,,,
stage_a_12,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:46:41.103824Z,evals-for-papers/results/raw_logs/stage_a/stage_a_12.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_12_tools.json,0,,1,0,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_13,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:48:31.194193Z,evals-for-papers/results/raw_logs/stage_a/stage_a_13.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_13_tools.json,0,,1,0,,1.0,1.17,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,0,,,,,,,,,,
stage_a_14,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:50:28.828817Z,evals-for-papers/results/raw_logs/stage_a/stage_a_14.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_14_tools.json,0,,1,0,,0.0,0.00,0.67,1.33,1.00,,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,,,,,,,,,
stage_a_15,A,expert_judge_upgrade,mentor_manual,2025-10-31T14:52:31.243178Z,evals-for-papers/results/raw_logs/stage_a/stage_a_15.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_15_tools.json,0,,1,0,,0.0,0.00,1.33,1.33,1.00,,2.00,2.00,2.00,2.00,,0,,,,,,,,,,,,,0,,,,,,,,,,
