prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_d_01,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:21:22.879630Z,evals-for-papers/results/raw_logs/stage_d/stage_d_01_openrouter-openai_gpt-5.txt,None,0,0,1,,0,1.0,2.00,2.00,2.00,0.80,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_02,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:23:50.428565Z,evals-for-papers/results/raw_logs/stage_d/stage_d_02_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,1.67,2.00,0.93,0.67,2.00,1.67,2.00,2.00,,,,,,,,1,,,,,,,,,,
stage_d_03,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:26:06.898411Z,evals-for-papers/results/raw_logs/stage_d/stage_d_03_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,2.00,2.00,0.93,1.33,1.67,2.00,2.00,2.00,,,,,0,,,,,,,,1,,,,,
stage_d_04,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:28:07.659959Z,evals-for-papers/results/raw_logs/stage_d/stage_d_04_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,1.67,2.00,2.00,0.83,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,,,1,,,
stage_d_05,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:30:52.902124Z,evals-for-papers/results/raw_logs/stage_d/stage_d_05_openrouter-openai_gpt-5.txt,None,0,1,1,,1,1.0,1.67,1.27,2.00,0.93,0.67,1.67,2.00,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_06,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:33:39.298010Z,evals-for-papers/results/raw_logs/stage_d/stage_d_06_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,2.00,2.00,0.90,1.33,2.00,2.00,2.00,2.00,,,,,0,,,,,,,,1,,,,,
stage_d_07,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:35:59.904854Z,evals-for-papers/results/raw_logs/stage_d/stage_d_07_openrouter-openai_gpt-5.txt,None,0,1,1,,1,1.0,1.67,2.00,2.00,0.80,0.67,2.00,1.67,2.00,2.00,,,,,,,,1,,,,,0,,,,,
stage_d_08,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:38:18.012631Z,evals-for-papers/results/raw_logs/stage_d/stage_d_08_openrouter-openai_gpt-5.txt,None,0,1,0,,1,0.0,1.67,0.00,2.00,0.87,1.33,0.00,2.00,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_09,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:40:32.941600Z,evals-for-papers/results/raw_logs/stage_d/stage_d_09_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,2.00,2.00,0.77,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_10,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:43:12.959888Z,evals-for-papers/results/raw_logs/stage_d/stage_d_10_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_11,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:46:10.216481Z,evals-for-papers/results/raw_logs/stage_d/stage_d_11_openrouter-openai_gpt-5.txt,None,0,1,0,,0,0.0,2.00,0.00,2.00,0.93,0.67,0.00,1.67,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_12,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:48:55.952064Z,evals-for-papers/results/raw_logs/stage_d/stage_d_12_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,1.67,2.00,2.00,0.80,0.67,2.00,1.67,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_13,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:51:12.080020Z,evals-for-papers/results/raw_logs/stage_d/stage_d_13_openrouter-openai_gpt-5.txt,None,0,1,0,,0,0.0,2.00,0.00,2.00,0.93,0.67,0.00,1.67,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_14,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:53:15.915140Z,evals-for-papers/results/raw_logs/stage_d/stage_d_14_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,2.00,2.00,0.93,0.67,2.00,1.83,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_15,D,single_turn_oct21,openrouter:openai/gpt-5,2025-10-23T12:56:13.971435Z,evals-for-papers/results/raw_logs/stage_d/stage_d_15_openrouter-openai_gpt-5.txt,None,0,1,0,,0,0.0,2.00,0.00,2.00,0.93,0.67,0.00,1.93,2.00,2.00,,,,,,,,1,,,,,1,,,,,
