prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_b_01,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:37:51.976111Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,1,0,1,1,,,,,,,,,,,,,,,,,,
stage_b_02,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:40:01.770844Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.97,,2.00,2.00,2.00,2.00,,,1,,1,1,1,,,,,,,,,,,,,,,,,
stage_b_03,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:41:49.184270Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.87,,1.67,1.67,2.00,2.00,,1,1,,,,,1,,,,,,,,,,,,,,,,
stage_b_04,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:43:38.991471Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.90,,2.00,2.00,2.00,2.00,,,,,1,,,,1,1,,,,,,,,,,,,,,
stage_b_05,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:45:32.631715Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.87,,2.00,2.00,2.00,2.00,,,1,,1,,,,,,1,,,,,,,,,,,,,
stage_b_06,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:47:21.615754Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,2.00,2.00,,,1,,,,,,1,,,0,,,,,,,,,,,,
stage_b_07,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:49:14.339162Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,1.97,0.97,,2.00,2.00,1.67,2.00,,,1,,,,,,1,,,,,,,,,,,,,,,
stage_b_08,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:51:09.657450Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.73,,2.00,2.00,2.00,1.67,,,1,,1,,,,,,,1,,,,,,,,,,,,
stage_b_09,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:53:00.419157Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.97,,2.00,2.00,2.00,1.67,,1,1,,,,,,,,,1,,,,,,,,,,,,
stage_b_10,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:54:59.423651Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,1.93,0.93,,2.00,2.00,2.00,2.00,,1,1,,,,,,,,,1,,,,,,,,,,,,
stage_b_11,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:57:03.247334Z,evals-for-papers/results/raw_logs/stage_b/stage_b_11_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,1,,,,,,1,,,1,,,,,,,,,,,,
stage_b_12,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T18:59:10.512146Z,evals-for-papers/results/raw_logs/stage_b/stage_b_12_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.77,,1.67,2.00,2.00,2.00,,,1,,1,,,,1,,,,,,,,,,,,,,,
stage_b_13,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:01:14.318550Z,evals-for-papers/results/raw_logs/stage_b/stage_b_13_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.87,,1.67,2.00,2.00,2.00,,1,1,,,,,,,,,1,,,,,,,,,,,,
stage_b_14,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:02:54.936988Z,evals-for-papers/results/raw_logs/stage_b/stage_b_14_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,1.97,2.00,0.93,,1.83,2.00,2.00,2.00,,,1,,,,,,0,,,,,,,,,,,,,,,
stage_b_15,B,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:05:04.956943Z,evals-for-papers/results/raw_logs/stage_b/stage_b_15_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,1,,,,,,,,,1,,,,,,,,,,,,
