prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_f_01,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:39:46.622046Z,evals-for-papers/results/raw_logs/stage_f/stage_f_01_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.80,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_02,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:41:37.424717Z,evals-for-papers/results/raw_logs/stage_f/stage_f_02_openrouter-openai_gpt-5.txt,None,0,1,,1.0,1.92,2.00,2.00,1.00,,2.00,2.00,2.00,1.67,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_03,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:43:53.658816Z,evals-for-papers/results/raw_logs/stage_f/stage_f_03_openrouter-openai_gpt-5.txt,None,0,1,,1.0,1.50,2.00,2.00,0.87,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,1,1,,,,,,,,
stage_f_04,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:45:38.338065Z,evals-for-papers/results/raw_logs/stage_f/stage_f_04_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.80,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,0,,,,,,,,,,,
stage_f_05,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:47:40.239764Z,evals-for-papers/results/raw_logs/stage_f/stage_f_05_openrouter-openai_gpt-5.txt,None,0,1,,1.0,1.67,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,1,,,,,,,,,
stage_f_06,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:49:45.118071Z,evals-for-papers/results/raw_logs/stage_f/stage_f_06_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_07,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:51:25.015223Z,evals-for-papers/results/raw_logs/stage_f/stage_f_07_openrouter-openai_gpt-5.txt,None,0,0,,0.0,1.00,0.00,1.00,0.67,,0.00,2.00,2.00,1.67,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_f_08,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:53:00.644000Z,evals-for-papers/results/raw_logs/stage_f/stage_f_08_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,,,,,,,,,,
stage_f_09,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:55:40.850028Z,evals-for-papers/results/raw_logs/stage_f/stage_f_09_openrouter-openai_gpt-5.txt,None,0,0,,0.0,1.00,0.00,1.33,1.00,,0.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,1,1,,,,,,,,
stage_f_10,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:57:43.132240Z,evals-for-papers/results/raw_logs/stage_f/stage_f_10_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.67,0.90,,0.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_11,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T14:59:32.143788Z,evals-for-papers/results/raw_logs/stage_f/stage_f_11_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,2.00,1.00,,0.00,2.00,1.33,1.67,,,,,,,,,,,,,1,,,1,,,,,,,,
stage_f_12,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:01:44.025353Z,evals-for-papers/results/raw_logs/stage_f/stage_f_12_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.80,,2.00,1.33,2.00,1.67,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_13,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:04:10.188172Z,evals-for-papers/results/raw_logs/stage_f/stage_f_13_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,1.67,0.73,,0.00,2.00,2.00,2.00,,1,,,,,,,,,,,0,,,,,,,,,,,
stage_f_14,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:06:26.342303Z,evals-for-papers/results/raw_logs/stage_f/stage_f_14_openrouter-openai_gpt-5.txt,None,0,0,,0.0,1.50,0.00,2.00,0.87,,0.00,2.00,2.00,2.00,,,,,,,,,,,,,0,,,1,,,,,,,,
stage_f_15,F,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:08:11.616293Z,evals-for-papers/results/raw_logs/stage_f/stage_f_15_openrouter-openai_gpt-5.txt,None,0,0,,0.0,1.50,0.00,2.00,0.93,,0.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,,,,,,,,,,
