prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_e_01,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:36:10.037579Z,evals-for-papers/results/raw_logs/stage_e/stage_e_01_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,0,,,,,,,,1,,,,,,,,,,,,
stage_e_02,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:37:55.462222Z,evals-for-papers/results/raw_logs/stage_e/stage_e_02_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_03,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:39:29.461568Z,evals-for-papers/results/raw_logs/stage_e/stage_e_03_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,1.67,,,,0,,,,,,,,1,,,,,,,,,,,,
stage_e_04,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:41:06.391297Z,evals-for-papers/results/raw_logs/stage_e/stage_e_04_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,1,,,,,,,,,,,,,,,,,
stage_e_05,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:42:56.158177Z,evals-for-papers/results/raw_logs/stage_e/stage_e_05_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,0,,,,,,,,,,,,,,,,,,,,
stage_e_06,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:44:37.121805Z,evals-for-papers/results/raw_logs/stage_e/stage_e_06_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,1,,,,,,,,,,,,
stage_e_07,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:46:19.286390Z,evals-for-papers/results/raw_logs/stage_e/stage_e_07_openrouter-openai_gpt-5.txt,None,0,1,,1.0,1.67,2.00,2.00,1.00,,2.00,1.67,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_08,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:48:05.414287Z,evals-for-papers/results/raw_logs/stage_e/stage_e_08_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,1.00,2.00,1.67,,,,0,,,,,,,,,,,,1,,,,,,,,
stage_e_09,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:50:27.705902Z,evals-for-papers/results/raw_logs/stage_e/stage_e_09_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,1.83,1.00,,2.00,1.33,2.00,2.00,,1,,,,,,,,,,1,,,,,,,,,,,,
stage_e_10,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:52:31.865598Z,evals-for-papers/results/raw_logs/stage_e/stage_e_10_openrouter-openai_gpt-5.txt,None,0,1,,1.0,1.00,1.67,2.00,1.00,,2.00,0.67,2.00,1.67,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_11,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:54:21.347694Z,evals-for-papers/results/raw_logs/stage_e/stage_e_11_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,1.33,2.00,1.67,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_12,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:56:23.513275Z,evals-for-papers/results/raw_logs/stage_e/stage_e_12_openrouter-openai_gpt-5.txt,None,0,0,,0.0,1.50,0.00,1.33,0.87,,0.00,1.33,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_13,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T19:58:10.904628Z,evals-for-papers/results/raw_logs/stage_e/stage_e_13_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,1.67,0.60,,0.00,0.33,2.00,2.00,,1,,,,,,,,,,1,,,,,,,,,,,,
stage_e_14,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:00:04.384611Z,evals-for-papers/results/raw_logs/stage_e/stage_e_14_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.83,,2.00,0.67,2.00,1.67,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_15,E,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:02:12.301801Z,evals-for-papers/results/raw_logs/stage_e/stage_e_15_openrouter-openai_gpt-5.txt,None,0,1,,1.0,1.92,2.00,1.67,0.87,,2.00,1.33,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
