prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_a_01,A,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T15:36:14.166428Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.97,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_02,A,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T15:38:52.316256Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_03,A,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T15:40:49.113011Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_04,A,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T15:42:37.639826Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_05,A,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T15:45:15.267816Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,1.67,2.00,1,,,,,,,,,,,,,,,,,,,,,,,
stage_a_06,A,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T15:47:37.818757Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,1.67,2.00,,1,,,,,,,,,,,,,,,,,,,,,,
stage_a_07,A,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T15:49:42.926955Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,1.50,0.00,2.00,1.00,,0.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_08,A,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T15:51:58.780078Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,,,,,,,
stage_a_09,A,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T15:54:36.809245Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,,,,,,,,,
stage_a_10,A,expert_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T15:56:17.392497Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10_openrouter-openai_gpt-5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,1,,,,,,,,,,
