prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_d_01,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:01:39.637372Z,evals-for-papers/results/raw_logs/stage_d/stage_d_01_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.83,,1.83,2.00,2.00,2.00,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_02,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:03:08.309383Z,evals-for-papers/results/raw_logs/stage_d/stage_d_02_openrouter-openai_gpt-5.txt,None,0,1,,1.0,1.67,1.93,2.00,0.83,,2.00,2.00,2.00,2.00,,,,,,,1,,,,,,,,,,,,,,,,,
stage_d_03,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:04:46.588334Z,evals-for-papers/results/raw_logs/stage_d/stage_d_03_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,2.00,2.00,,,,0,,,,,,,,0,,,,,,,,,,,,
stage_d_04,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:06:27.724531Z,evals-for-papers/results/raw_logs/stage_d/stage_d_04_openrouter-openai_gpt-5.txt,None,0,1,,1.0,1.67,2.00,2.00,0.87,,2.00,2.00,2.00,1.67,,,,,,,1,,,,,,,1,,,,,,,,,,
stage_d_05,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:08:11.285810Z,evals-for-papers/results/raw_logs/stage_d/stage_d_05_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,0.67,1.67,0.93,,1.00,2.00,2.00,1.67,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_06,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:09:51.583932Z,evals-for-papers/results/raw_logs/stage_d/stage_d_06_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.90,,1.67,2.00,2.00,2.00,,,,0,,,,,,,,1,,,,,,,,,,,,
stage_d_07,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:11:36.716057Z,evals-for-papers/results/raw_logs/stage_d/stage_d_07_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.80,,2.00,1.83,2.00,1.67,,,,,,,1,,,,,0,,,,,,,,,,,,
stage_d_08,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:13:15.138835Z,evals-for-papers/results/raw_logs/stage_d/stage_d_08_openrouter-openai_gpt-5.txt,None,0,0,,0.0,1.67,0.00,1.67,0.80,,0.00,2.00,2.00,1.67,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_09,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:14:44.829646Z,evals-for-papers/results/raw_logs/stage_d/stage_d_09_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.80,,2.00,2.00,2.00,1.67,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_10,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:16:25.875367Z,evals-for-papers/results/raw_logs/stage_d/stage_d_10_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,1.67,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_11,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:18:10.801312Z,evals-for-papers/results/raw_logs/stage_d/stage_d_11_openrouter-openai_gpt-5.txt,None,0,0,,0.0,2.00,0.00,2.00,0.93,,0.00,1.67,2.00,2.00,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_12,D,expert_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:19:49.195214Z,evals-for-papers/results/raw_logs/stage_d/stage_d_12_openrouter-openai_gpt-5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.73,,2.00,1.50,2.00,1.67,,,,,,,1,,,,,0,,,,,,,,,,,,
