prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_f_01,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T10:59:23.248700Z,evals-for-papers/results/raw_logs/stage_f/stage_f_01_openrouter-openai_gpt-5.txt,None,0,1,1,,1,1.0,2.00,2.00,2.00,0.73,1.33,1.67,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,
stage_f_02,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:01:39.994410Z,evals-for-papers/results/raw_logs/stage_f/stage_f_02_openrouter-openai_gpt-5.txt,None,0,0,1,,1,1.0,1.83,2.00,2.00,0.93,2.00,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,1,
stage_f_03,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:03:45.432067Z,evals-for-papers/results/raw_logs/stage_f/stage_f_03_openrouter-openai_gpt-5.txt,None,0,0,1,,1,1.0,1.50,2.00,2.00,0.77,0.67,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,1,,1,1,
stage_f_04,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:06:20.686931Z,evals-for-papers/results/raw_logs/stage_f/stage_f_04_openrouter-openai_gpt-5.txt,None,0,1,1,,1,1.0,2.00,2.00,2.00,0.80,1.33,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,0,,,,
stage_f_05,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:08:36.651524Z,evals-for-papers/results/raw_logs/stage_f/stage_f_05_openrouter-openai_gpt-5.txt,None,0,0,1,,0,1.0,1.83,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,1,,1,,
stage_f_06,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:10:31.046569Z,evals-for-papers/results/raw_logs/stage_f/stage_f_06_openrouter-openai_gpt-5.txt,None,0,1,1,,1,1.0,2.00,2.00,2.00,0.93,1.33,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,1,
stage_f_07,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:12:27.321040Z,evals-for-papers/results/raw_logs/stage_f/stage_f_07_openrouter-openai_gpt-5.txt,None,0,0,0,,1,0.0,0.50,0.00,1.33,0.67,1.33,0.00,2.00,2.00,1.67,,,1,,,,,,,,,,,,,,0,
stage_f_08,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:14:35.738980Z,evals-for-papers/results/raw_logs/stage_f/stage_f_08_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,2.00,2.00,0.93,0.67,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,0,,,,
stage_f_09,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:16:38.626807Z,evals-for-papers/results/raw_logs/stage_f/stage_f_09_openrouter-openai_gpt-5.txt,None,0,0,0,,0,0.0,1.00,0.00,1.67,1.00,1.17,0.00,2.00,2.00,2.00,,,,,,,,,,,,,,1,,1,1,
stage_f_10,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:18:26.901136Z,evals-for-papers/results/raw_logs/stage_f/stage_f_10_openrouter-openai_gpt-5.txt,None,0,1,0,,0,0.0,1.00,0.00,1.00,0.80,0.67,0.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,1,
stage_f_11,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:20:22.618692Z,evals-for-papers/results/raw_logs/stage_f/stage_f_11_openrouter-openai_gpt-5.txt,None,0,1,0,,1,0.0,1.00,0.00,2.00,1.00,1.33,0.00,2.00,2.00,2.00,,,,,,,,,,,,,,1,,,1,
stage_f_12,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:22:12.974939Z,evals-for-papers/results/raw_logs/stage_f/stage_f_12_openrouter-openai_gpt-5.txt,None,0,1,1,,1,1.0,2.00,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,1,
stage_f_13,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:24:22.647067Z,evals-for-papers/results/raw_logs/stage_f/stage_f_13_openrouter-openai_gpt-5.txt,None,0,1,0,,1,0.0,1.00,0.00,2.00,0.77,0.67,0.00,2.00,2.00,2.00,,,1,,,,,,,,,,,0,,,,
stage_f_14,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:26:11.549804Z,evals-for-papers/results/raw_logs/stage_f/stage_f_14_openrouter-openai_gpt-5.txt,None,0,0,0,,0,0.0,1.50,0.00,2.00,0.87,1.33,0.00,2.00,2.00,2.00,,,,,,,,,,,,,,0,,,1,
stage_f_15,F,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:28:22.604688Z,evals-for-papers/results/raw_logs/stage_f/stage_f_15_openrouter-openai_gpt-5.txt,None,0,1,0,,0,0.0,1.00,0.00,1.33,0.93,1.33,0.00,2.00,2.00,2.00,1,,,,,,,,,,,,,0,,,,
