prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_e_01,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:03:07.907573Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_01_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.00,2.00,0.67,0.00,1.33,2.00,1.56,,1,,1,,,
stage_e_02,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:08:44.581485Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_02_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.33,2.00,0.74,0.00,1.83,2.00,2.00,,1,,,,,
stage_e_03,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:12:41.872733Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_03_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.67,2.00,0.67,0.00,1.33,2.00,1.67,,,,1,,,
stage_e_04,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:17:51.967348Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_04_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.67,1.50,0.74,0.00,1.31,2.00,1.33,,,,,,,1
stage_e_05,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:22:43.543590Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_05_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.33,1.83,0.67,0.00,1.50,1.67,2.00,,1,,1,,,
stage_e_06,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:27:25.208932Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_06_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.33,2.00,1.00,0.00,1.50,2.00,2.00,,1,,,,,
stage_e_07,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:31:53.666161Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_07_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.00,2.00,0.67,0.00,1.17,2.00,2.00,,1,,,,,
stage_e_08,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:36:31.481288Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_08_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.67,1.50,0.67,0.00,1.33,1.74,1.56,,,,1,,,
stage_e_09,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:42:04.025900Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_09_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.33,1.83,0.74,0.00,1.00,2.00,1.67,,1,,,,,
stage_e_10,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:47:37.191234Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_10_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.33,1.83,0.67,0.00,1.00,1.67,1.67,,1,,,,,
stage_e_11,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:52:38.688903Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_11_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,0.67,2.00,0.67,0.00,1.00,2.00,1.33,,0,,,,,
stage_e_12,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:57:11.937556Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_12_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.33,1.83,0.67,0.00,1.00,1.83,1.67,,1,,,,,
stage_e_13,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:01:16.059534Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_13_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,0.67,1.19,0.67,0.00,0.67,1.67,1.33,,1,,,,,
stage_e_14,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:06:18.948624Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_14_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.67,1.83,0.74,0.00,0.67,1.37,2.00,,1,,,,,
stage_e_15,E,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:10:41.166764Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_e/stage_e_15_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.67,1.83,1.00,0.00,1.17,2.00,2.00,,1,,,,,
