prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_d_01,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:03:04.790562Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_01_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.67,1.17,2.00,0.00,1.50,2.00,1.83,,,,,,,0
stage_d_02,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:06:59.217471Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_02_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,0.33,1.50,0.83,0.00,1.17,2.00,1.33,,,,,,,1
stage_d_03,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:12:04.043822Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_03_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.00,2.00,0.83,0.00,1.33,2.00,1.83,,,,0,,,
stage_d_04,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:16:40.531153Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_04_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.67,1.33,1.00,0.00,1.33,2.00,1.33,,,,,,,1
stage_d_05,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:20:59.238995Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_05_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,0.67,2.00,1.00,0.00,1.00,2.00,1.33,,,,,,,1
stage_d_06,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:25:33.782186Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_06_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.33,1.67,1.17,0.00,1.00,2.00,2.00,,,,1,,,
stage_d_07,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:29:10.325524Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_07_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,1.17,1.67,0.67,0.00,1.17,2.00,1.17,,,,,,,1
stage_d_08,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:33:46.564604Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_08_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.17,2.00,1.00,0.00,1.17,2.00,1.83,,,,,,,1
stage_d_09,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:38:37.584067Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_09_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.33,1.67,0.83,0.00,1.33,2.00,1.33,,,,,,,1
stage_d_10,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:43:24.103918Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_10_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.63,1.67,1.50,0.00,1.00,2.00,1.67,,,,,,,1
stage_d_11,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:48:46.179355Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_11_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.00,1.83,1.19,0.00,1.00,2.00,1.33,,,,,,,1
stage_d_12,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:53:18.011408Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_12_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,1.17,1.67,0.67,0.00,1.50,2.00,1.33,,,,,,,1
stage_d_13,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:58:34.988668Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_13_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,0.33,1.83,0.33,0.00,1.33,2.00,1.67,,,,,,,1
stage_d_14,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:04:51.014971Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_14_openrouter-openai_gpt-5.txt,None,,0,,0.0,0.50,0.00,1.00,1.83,1.00,0.00,1.00,2.00,1.17,,,,,,,1
stage_d_15,D,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:09:20.244015Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_d/stage_d_15_openrouter-openai_gpt-5.txt,None,0,0,,0.0,0.50,0.00,0.33,1.83,0.67,0.00,1.17,2.00,1.67,,,,,,,1
