prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_e_01,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T10:58:37.433443Z,evals-for-papers/results/raw_logs/stage_e/stage_e_01_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,1,,0,,,,,,,,1,,,,,
stage_e_02,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:01:08.544586Z,evals-for-papers/results/raw_logs/stage_e/stage_e_02_openrouter-openai_gpt-5.txt,None,0,1,1,,1,1.0,2.00,2.00,2.00,0.83,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_03,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:03:16.224698Z,evals-for-papers/results/raw_logs/stage_e/stage_e_03_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,,,0,,,,,,,,1,,,,,
stage_e_04,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:05:44.739175Z,evals-for-papers/results/raw_logs/stage_e/stage_e_04_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,,,,,,
stage_e_05,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:07:43.173378Z,evals-for-papers/results/raw_logs/stage_e/stage_e_05_openrouter-openai_gpt-5.txt,None,0,0,1,,0,1.0,2.00,1.83,2.00,0.93,1.33,2.00,2.00,2.00,2.00,,,1,,0,,,,,,,,,,,,,
stage_e_06,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:09:46.106798Z,evals-for-papers/results/raw_logs/stage_e/stage_e_06_openrouter-openai_gpt-5.txt,None,0,0,1,,0,1.0,2.00,2.00,2.00,0.93,0.67,1.67,2.00,2.00,2.00,,,1,,,,,,,,,,1,,,,,
stage_e_07,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:11:47.872463Z,evals-for-papers/results/raw_logs/stage_e/stage_e_07_openrouter-openai_gpt-5.txt,None,0,0,1,,0,1.0,1.67,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_08,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:13:56.115140Z,evals-for-papers/results/raw_logs/stage_e/stage_e_08_openrouter-openai_gpt-5.txt,None,0,0,1,,0,1.0,1.83,2.00,2.00,1.00,0.67,2.00,1.67,2.00,2.00,,,,,0,,,,,,,,,,,,1,
stage_e_09,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:15:58.823768Z,evals-for-papers/results/raw_logs/stage_e/stage_e_09_openrouter-openai_gpt-5.txt,None,0,0,1,,1,1.0,2.00,2.00,2.00,0.93,0.67,2.00,1.33,2.00,2.00,,,1,,,,,,,,,,1,,,,,
stage_e_10,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:17:55.248225Z,evals-for-papers/results/raw_logs/stage_e/stage_e_10_openrouter-openai_gpt-5.txt,None,0,0,1,,1,1.0,1.67,1.67,2.00,1.00,0.67,2.00,1.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_11,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:19:58.749860Z,evals-for-papers/results/raw_logs/stage_e/stage_e_11_openrouter-openai_gpt-5.txt,None,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,1.67,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_12,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:22:02.700019Z,evals-for-papers/results/raw_logs/stage_e/stage_e_12_openrouter-openai_gpt-5.txt,None,0,0,0,,0,0.0,1.50,0.00,1.33,0.83,0.67,0.00,1.33,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_13,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:25:01.046069Z,evals-for-papers/results/raw_logs/stage_e/stage_e_13_openrouter-openai_gpt-5.txt,None,0,0,0,,0,0.0,1.00,0.00,1.67,0.67,0.67,0.00,0.33,1.33,2.00,,,1,,,,,,,,,,1,,,,,
stage_e_14,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:27:00.172972Z,evals-for-papers/results/raw_logs/stage_e/stage_e_14_openrouter-openai_gpt-5.txt,None,0,0,1,,0,1.0,2.00,2.00,2.00,0.87,0.67,2.00,1.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_15,E,single_turn_oct21,openrouter:openai/gpt-5,2025-10-22T11:28:55.851008Z,evals-for-papers/results/raw_logs/stage_e/stage_e_15_openrouter-openai_gpt-5.txt,None,0,0,1,,1,1.0,2.00,2.00,2.00,0.93,0.67,2.00,1.67,2.00,2.00,,,1,,,,,,,,,,,,,,1,
